
> alica-v2@0.0.0 schema
> python3 -S tools/run-design.py

test_authorized (test_g1_completion.AuthorityLifecycle.test_authorized) ... ok
test_changed_instance (test_g1_completion.AuthorityLifecycle.test_changed_instance) ... ok
test_changed_principal (test_g1_completion.AuthorityLifecycle.test_changed_principal) ... ok
test_deadline_inheritance (test_g1_completion.AuthorityLifecycle.test_deadline_inheritance) ... ok
test_every_transition (test_g1_completion.AuthorityLifecycle.test_every_transition) ... ok
test_expiry_boundary (test_g1_completion.AuthorityLifecycle.test_expiry_boundary) ... ok
test_future_issuance (test_g1_completion.AuthorityLifecycle.test_future_issuance) ... ok
test_offline_backward_clock (test_g1_completion.AuthorityLifecycle.test_offline_backward_clock) ... ok
test_offline_expired (test_g1_completion.AuthorityLifecycle.test_offline_expired) ... ok
test_offline_fresh (test_g1_completion.AuthorityLifecycle.test_offline_fresh) ... ok
test_offline_old_metadata (test_g1_completion.AuthorityLifecycle.test_offline_old_metadata) ... ok
test_offline_rollback_metadata (test_g1_completion.AuthorityLifecycle.test_offline_rollback_metadata) ... ok
test_partial_cleanup_keeps_failure (test_g1_completion.AuthorityLifecycle.test_partial_cleanup_keeps_failure) ... ok
test_reused_scope (test_g1_completion.AuthorityLifecycle.test_reused_scope) ... ok
test_revision_revoke (test_g1_completion.AuthorityLifecycle.test_revision_revoke) ... ok
test_revoked_flag (test_g1_completion.AuthorityLifecycle.test_revoked_flag) ... ok
test_sibling_scope (test_g1_completion.AuthorityLifecycle.test_sibling_scope) ... ok
test_terminal_first_wins (test_g1_completion.AuthorityLifecycle.test_terminal_first_wins) ... ok
test_wrong_operation (test_g1_completion.AuthorityLifecycle.test_wrong_operation) ... ok
test_semantic_positive_bundle (test_g1_completion.CompleteSchemas.test_semantic_positive_bundle) ... ok
test_semantic_positive_call (test_g1_completion.CompleteSchemas.test_semantic_positive_call) ... ok
test_semantic_positive_capability (test_g1_completion.CompleteSchemas.test_semantic_positive_capability) ... ok
test_semantic_positive_error (test_g1_completion.CompleteSchemas.test_semantic_positive_error) ... ok
test_semantic_positive_event (test_g1_completion.CompleteSchemas.test_semantic_positive_event) ... ok
test_semantic_positive_event_descriptor (test_g1_completion.CompleteSchemas.test_semantic_positive_event_descriptor) ... ok
test_semantic_positive_event_grant (test_g1_completion.CompleteSchemas.test_semantic_positive_event_grant) ... ok
test_semantic_positive_grant (test_g1_completion.CompleteSchemas.test_semantic_positive_grant) ... ok
test_semantic_positive_package_index (test_g1_completion.CompleteSchemas.test_semantic_positive_package_index) ... ok
test_semantic_positive_plugin (test_g1_completion.CompleteSchemas.test_semantic_positive_plugin) ... ok
test_semantic_positive_profile (test_g1_completion.CompleteSchemas.test_semantic_positive_profile) ... ok
test_semantic_positive_resolution_lock (test_g1_completion.CompleteSchemas.test_semantic_positive_resolution_lock) ... ok
test_semantic_positive_response (test_g1_completion.CompleteSchemas.test_semantic_positive_response) ... ok
test_semantic_positive_revocation (test_g1_completion.CompleteSchemas.test_semantic_positive_revocation) ... ok
test_semantic_positive_root_rotation (test_g1_completion.CompleteSchemas.test_semantic_positive_root_rotation) ... ok
test_semantic_positive_secret_grant (test_g1_completion.CompleteSchemas.test_semantic_positive_secret_grant) ... ok
test_semantic_positive_signature (test_g1_completion.CompleteSchemas.test_semantic_positive_signature) ... ok
test_semantic_positive_trust_policy (test_g1_completion.CompleteSchemas.test_semantic_positive_trust_policy) ... ok
test_dual_root_and_openssl (test_g1_completion.CryptoVectors.test_dual_root_and_openssl) ... ok
test_missing_rotation_signature (test_g1_completion.CryptoVectors.test_missing_rotation_signature) ... ok
test_tampered_record (test_g1_completion.CryptoVectors.test_tampered_record) ... ok
test_wrong_domain (test_g1_completion.CryptoVectors.test_wrong_domain) ... ok
test_wrong_root (test_g1_completion.CryptoVectors.test_wrong_root) ... ok
test_both_reject_nonascii_key (test_g1_completion.Digests.test_both_reject_nonascii_key) ... ok
test_both_reject_surrogate (test_g1_completion.Digests.test_both_reject_surrogate) ... ok
test_golden_vectors (test_g1_completion.Digests.test_golden_vectors) ... ok
test_reject_duplicates_raw (test_g1_completion.Digests.test_reject_duplicates_raw) ... ok
test_reject_oversize_raw (test_g1_completion.Digests.test_reject_oversize_raw) ... ok
test_const_enum_mismatch (test_g1_completion.NegativeSemantic.test_const_enum_mismatch) ... ok
test_const_wrong_type (test_g1_completion.NegativeSemantic.test_const_wrong_type) ... ok
test_dependency_duplicates (test_g1_completion.NegativeSemantic.test_dependency_duplicates) ... ok
test_empty_capability_operations (test_g1_completion.NegativeSemantic.test_empty_capability_operations) ... ok
test_enum_duplicate (test_g1_completion.NegativeSemantic.test_enum_duplicate) ... ok
test_enum_wrong_type (test_g1_completion.NegativeSemantic.test_enum_wrong_type) ... ok
test_event_descriptor_fixture_binding (test_g1_completion.NegativeSemantic.test_event_descriptor_fixture_binding) ... ok
test_event_duplicate_declaration (test_g1_completion.NegativeSemantic.test_event_duplicate_declaration) ... ok
test_event_instance_required (test_g1_completion.NegativeSemantic.test_event_instance_required) ... ok
test_event_scope_generation_required (test_g1_completion.NegativeSemantic.test_event_scope_generation_required) ... ok
test_event_unknown_metadata (test_g1_completion.NegativeSemantic.test_event_unknown_metadata) ... ok
test_event_wrong_operation (test_g1_completion.NegativeSemantic.test_event_wrong_operation) ... ok
test_expired_interval (test_g1_completion.NegativeSemantic.test_expired_interval) ... ok
test_feature_overlap (test_g1_completion.NegativeSemantic.test_feature_overlap) ... ok
test_inverted_version_range (test_g1_completion.NegativeSemantic.test_inverted_version_range) ... ok
test_lock_duplicate_binding (test_g1_completion.NegativeSemantic.test_lock_duplicate_binding) ... ok
test_lock_plugin_order (test_g1_completion.NegativeSemantic.test_lock_plugin_order) ... ok
test_lock_unknown_provider (test_g1_completion.NegativeSemantic.test_lock_unknown_provider) ... ok
test_lock_wrong_package (test_g1_completion.NegativeSemantic.test_lock_wrong_package) ... ok
test_missing_idempotency_policy (test_g1_completion.NegativeSemantic.test_missing_idempotency_policy) ... ok
test_package_duplicate_path (test_g1_completion.NegativeSemantic.test_package_duplicate_path) ... ok
test_package_missing_manifest (test_g1_completion.NegativeSemantic.test_package_missing_manifest) ... ok
test_payload_range (test_g1_completion.NegativeSemantic.test_payload_range) ... ok
test_payload_wrong_keyword (test_g1_completion.NegativeSemantic.test_payload_wrong_keyword) ... ok
test_pin_unknown_provider (test_g1_completion.NegativeSemantic.test_pin_unknown_provider) ... ok
test_policy_for_none (test_g1_completion.NegativeSemantic.test_policy_for_none) ... ok
test_required_missing_property (test_g1_completion.NegativeSemantic.test_required_missing_property) ... ok
test_response_both_outcomes (test_g1_completion.NegativeSemantic.test_response_both_outcomes) ... ok
test_rotation_same_key (test_g1_completion.NegativeSemantic.test_rotation_same_key) ... ok
test_rotation_skips_version (test_g1_completion.NegativeSemantic.test_rotation_skips_version) ... ok
test_scope_cycle (test_g1_completion.NegativeSemantic.test_scope_cycle) ... ok
test_scope_two_roots (test_g1_completion.NegativeSemantic.test_scope_two_roots) ... ok
test_secret_wrong_operation (test_g1_completion.NegativeSemantic.test_secret_wrong_operation) ... ok
test_stream_idempotency (test_g1_completion.NegativeSemantic.test_stream_idempotency) ... ok
test_unknown_parent (test_g1_completion.NegativeSemantic.test_unknown_parent) ... ok
test_version_component_overflow (test_g1_completion.NegativeSemantic.test_version_component_overflow) ... ok
test_catalog_permutations (test_g1_completion.Negotiation.test_catalog_permutations) ... ok
