    PID    PPID     ELAPSED COMMAND
      1       0  1-18:54:41 /sbin/init
      2       0  1-18:54:41 [kthreadd]
      3       2  1-18:54:40 [pool_workqueue_release]
      4       2  1-18:54:40 [kworker/R-rcu_g]
      5       2  1-18:54:40 [kworker/R-rcu_p]
      6       2  1-18:54:40 [kworker/R-slub_]
      7       2  1-18:54:40 [kworker/R-netns]
     10       2  1-18:54:40 [kworker/0:0H-events_highpri]
     12       2  1-18:54:40 [kworker/R-mm_pe]
     13       2  1-18:54:40 [rcu_tasks_kthread]
     14       2  1-18:54:40 [rcu_tasks_rude_kthread]
     15       2  1-18:54:40 [rcu_tasks_trace_kthread]
     16       2  1-18:54:40 [ksoftirqd/0]
     17       2  1-18:54:40 [rcu_preempt]
     18       2  1-18:54:40 [migration/0]
     19       2  1-18:54:40 [idle_inject/0]
     20       2  1-18:54:40 [cpuhp/0]
     21       2  1-18:54:40 [cpuhp/1]
     22       2  1-18:54:40 [idle_inject/1]
     23       2  1-18:54:40 [migration/1]
     24       2  1-18:54:40 [ksoftirqd/1]
     26       2  1-18:54:40 [kworker/1:0H-events_highpri]
     27       2  1-18:54:40 [cpuhp/2]
     28       2  1-18:54:40 [idle_inject/2]
     29       2  1-18:54:40 [migration/2]
     30       2  1-18:54:40 [ksoftirqd/2]
     32       2  1-18:54:40 [kworker/2:0H-events_highpri]
     33       2  1-18:54:40 [cpuhp/3]
     34       2  1-18:54:40 [idle_inject/3]
     35       2  1-18:54:40 [migration/3]
     36       2  1-18:54:40 [ksoftirqd/3]
     38       2  1-18:54:40 [kworker/3:0H-events_highpri]
     39       2  1-18:54:40 [kdevtmpfs]
     40       2  1-18:54:40 [kworker/R-inet_]
     41       2  1-18:54:40 [kauditd]
     42       2  1-18:54:40 [khungtaskd]
     43       2  1-18:54:40 [oom_reaper]
     45       2  1-18:54:40 [kworker/R-write]
     47       2  1-18:54:40 [kcompactd0]
     48       2  1-18:54:40 [ksmd]
     49       2  1-18:54:40 [khugepaged]
     50       2  1-18:54:40 [kworker/R-kinte]
     51       2  1-18:54:40 [kworker/R-kbloc]
     52       2  1-18:54:40 [kworker/R-blkcg]
     53       2  1-18:54:40 [irq/9-acpi]
     56       2  1-18:54:40 [kworker/R-tpm_d]
     57       2  1-18:54:40 [kworker/R-ata_s]
     58       2  1-18:54:40 [kworker/R-md]
     59       2  1-18:54:40 [kworker/R-md_bi]
     60       2  1-18:54:40 [kworker/R-edac-]
     61       2  1-18:54:40 [kworker/R-devfr]
     62       2  1-18:54:40 [watchdogd]
     64       2  1-18:54:40 [kworker/R-quota]
